,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
110,1684713600,1807.59,1795.18,1805.42,6435.31,11580817.68,1799.59,direct,
111,1684717200,1802.08,1793.36,1799.59,4110.25,7388985.99,1794.22,direct,
112,1684720800,1803.81,1792.62,1794.22,3390.56,6098790.56,1802.09,direct,
113,1684724400,1803.97,1800.67,1802.09,1588.91,2863607.96,1801.31,direct,
114,1684728000,1805.09,1800.99,1801.31,1406.37,2535935.69,1803.0,direct,
115,1684731600,1805.15,1802.97,1803.0,1927.76,3477969.86,1804.44,direct,
116,1684735200,1814.8,1804.12,1804.44,5621.96,10178197.41,1809.59,direct,
117,1684738800,1811.94,1808.73,1809.59,2205.0,3991669.25,1811.42,direct,
118,1684742400,1817.55,1811.01,1811.42,4329.64,7856533.21,1811.98,direct,
119,1684746000,1819.24,1811.94,1811.98,2834.15,5146395.0,1817.73,direct,
120,1684749600,1820.12,1815.21,1817.73,3321.59,6036378.43,1817.3,direct,
121,1684753200,1817.61,1812.53,1817.3,3016.2,5471577.7,1814.26,direct,
122,1684756800,1816.54,1810.28,1814.26,4077.87,7396760.82,1810.71,direct,
123,1684760400,1828.7,1809.1,1810.71,14212.19,25891870.63,1822.44,direct,
124,1684764000,1824.69,1809.3,1822.44,10175.04,18495727.06,1818.67,direct,
125,1684767600,1821.22,1812.8,1818.67,4631.8,8415227.13,1816.92,direct,
126,1684771200,1820.05,1814.54,1816.92,5331.5,9690952.87,1817.92,direct,
127,1684774800,1820.06,1813.97,1817.92,6409.97,11643608.97,1817.37,direct,
128,1684778400,1823.6,1817.23,1817.37,6414.99,11680736.76,1819.7,direct,
129,1684782000,1820.25,1814.78,1819.7,5042.66,9162223.85,1816.23,direct,
130,1684785600,1819.63,1813.46,1816.23,3560.7,6468490.81,1818.58,direct,
131,1684789200,1825.33,1817.75,1818.58,4566.71,8319555.95,1821.02,direct,
132,1684792800,1823.79,1818.84,1821.02,2472.88,4503424.96,1818.84,direct,
133,1684796400,1819.65,1817.41,1818.84,2888.68,5252745.58,1817.8,direct,
134,1684800000,1824.18,1815.79,1817.8,3008.55,5475072.17,1816.73,direct,
135,1684803600,1841.61,1815.97,1816.73,14886.66,27296064.08,1834.78,direct,
136,1684807200,1844.23,1834.78,1834.78,8508.78,15653178.17,1842.52,direct,
137,1684810800,1870.55,1841.46,1842.52,24072.49,44764187.86,1865.83,direct,
138,1684814400,1868.78,1855.71,1865.83,8345.0,15535627.78,1857.57,direct,
139,1684818000,1861.31,1856.38,1857.57,5293.0,9840040.29,1858.13,direct,
140,1684821600,1862.68,1854.58,1858.13,3524.11,6552537.76,1856.47,direct,
141,1684825200,1856.86,1847.48,1856.47,5383.21,9970273.87,1853.9,direct,
142,1684828800,1858.0,1850.01,1853.9,3392.68,6289777.18,1856.66,direct,
143,1684832400,1857.75,1853.56,1856.66,2991.07,5550195.2,1855.71,direct,
144,1684836000,1857.74,1853.64,1855.71,3766.69,6991538.36,1857.21,direct,
145,1684839600,1857.8,1853.43,1857.21,3719.5,6902336.42,1855.0,direct,
146,1684843200,1856.63,1849.32,1855.0,5189.94,9622035.27,1852.31,direct,
147,1684846800,1853.8,1843.04,1852.31,9735.56,17995206.84,1847.24,direct,
148,1684850400,1857.45,1846.98,1847.24,8582.6,15888114.12,1856.39,direct,
149,1684854000,1860.41,1854.89,1856.39,5600.65,10401073.55,1857.24,direct,
150,1684857600,1857.68,1849.7,1857.24,7576.87,14041700.69,1850.11,direct,
151,1684861200,1853.65,1847.62,1850.11,6777.85,12539864.93,1850.06,direct,
152,1684864800,1851.99,1845.16,1850.06,7009.46,12958090.75,1845.67,direct,
153,1684868400,1853.27,1842.72,1845.67,5740.15,10612322.82,1851.99,direct,
154,1684872000,1857.31,1848.8,1851.99,4092.58,7583557.48,1854.64,direct,
155,1684875600,1855.52,1849.53,1854.64,3661.14,6782484.14,1849.73,direct,
156,1684879200,1854.58,1847.2,1849.73,2371.31,4390435.05,1854.5,direct,
157,1684882800,1857.1,1853.32,1854.5,3492.12,6478748.67,1854.47,direct,
158,1684886400,1854.74,1846.9,1854.47,3914.42,7242934.23,1849.82,direct,
159,1684890000,1851.08,1845.17,1849.82,4725.07,8731389.44,1845.61,direct,
160,1684893600,1848.1,1844.55,1845.61,2121.03,3916635.91,1846.5,direct,
161,1684897200,1846.76,1813.17,1846.5,18081.68,33044332.29,1822.51,direct,
162,1684900800,1827.96,1818.37,1822.51,4807.58,8766019.81,1827.85,direct,
163,1684904400,1828.96,1824.49,1827.85,4547.69,8305865.74,1826.56,direct,
164,1684908000,1826.74,1818.23,1826.56,3628.55,6610310.77,1821.32,direct,
